Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
URBAN INN,"₹ 1,435",Near Srinagar Airport | 5.9 km from Srinagar Inernational Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 697 Off,,,,6%,"['Free Parking', 'Room Service', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
New Jeddah Houseboat,"₹ 1,523",Near Nigeen Lake | 0 m from Nagin Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 388 Off,,,,15%,"['Kitchenette', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
New Golden hind group of houseboats,"₹ 1,128",Near Dal Lake | 1 m from Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,2.3,,3.0,16%,"['Doctor on Call', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Sun N Shade Guest House,"₹ 1,160",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 422 Off,,,,15%,"['Free Parking', 'Outdoor Sports', 'Restaurant']",Srinagar,9-8-2021,11-8-2021
Houseboat Golden Lilly,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Free Wi-Fi', 'Kitchenette', 'Caretaker']",Srinagar,9-8-2021,11-8-2021
Houseboat Green View,"₹ 1,880",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,5.0, (Excellent),1.0,11%,"['Free Wi-Fi', 'Kitchenette', 'Caretaker']",Srinagar,9-8-2021,11-8-2021
Houseboat Shangloo Palace,"₹ 4,230",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1080 Off,,,,6%,"['Free Wi-Fi', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
HB TASHKAND,₹ 770,Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 347 Off,,,,6%,"['Free Wi-Fi', 'Kitchenette', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Group Of Smith Palace Houseboat,"₹ 3,760",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 960 Off,,,,6%,"['Doctor on Call', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Young Alzira,"₹ 2,072",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1474 Off,4.5, (Excellent),6.0,14%,"['Doctor on Call', 'Free Wi-Fi', 'Caretaker']",Srinagar,9-8-2021,11-8-2021
Best View Resorts Group of houseboats,"₹ 3,376",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1640 Off,,,,6%,"['Free Wi-Fi', 'Kitchenette', 'Caretaker']",Srinagar,9-8-2021,11-8-2021
HOUSE BOAT LAKE THAO,"₹ 1,880",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,4.0, (Very Good),2.0,31%,"['Free Wi-Fi', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Hotel Sheesh Mahal,"₹ 2,632",Near Houseboats | 990 m from Shivpora Water Tank Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,4.0, (Very Good),1.0,16%,"['Free Parking', 'Lawn', 'Room Service']",Srinagar,9-8-2021,11-8-2021
Lassa Bhat Guest House,₹ 752,Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 192 Off,,,,6%,"['Kids Play Area', 'Free Wi-Fi', 'Free Parking']",Srinagar,9-8-2021,11-8-2021
Perfume Garden Houseboats,"₹ 2,256",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 576 Off,,,,6%,"['Caretaker', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Hotel Golden View Srinagar,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,5.0, (Excellent),2.0,6%,"['Room Service', 'Power Backup', 'Doctor on Call']",Srinagar,9-8-2021,11-8-2021
Aar Kay Hotel,"₹ 2,820",Near Houseboats | 940 m from Polo View Market,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Power Backup', 'Restaurant', 'Doctor on Call']",Srinagar,9-8-2021,11-8-2021
Houseboat Czara Srinagar,"₹ 1,751",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1357 Off,,,,6%,"['Safe', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Houseboat Nigeen Paradise,"₹ 2,820",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Free Wi-Fi', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Khilona Heritage Houseboats,"₹ 2,623",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 955 Off,3.8, (Good),12.0,33%,"['Caretaker', 'Living Room', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Shahnaaz Group Of Houseboats,"₹ 5,922",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1512 Off,,,,6%,"['Doctor on Call', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat New Sumbul,"₹ 2,350",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,,,,25%,"['Doctor on Call', 'Caretaker', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Wangnoo palace - Houseboat,"₹ 2,110",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,,,,15%,"['Free Wi-Fi', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Athena Group Of House Boats,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Doctor on Call', 'Living Room', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Young Shahzada Group Of Houseboats,"₹ 1,013",Habba Kadal,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,,,,16%,"['Free Wi-Fi', 'Kitchenette', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Houseboat New Melbourne,"₹ 1,727",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 752 Off,3.2, (Good),5.0,6%,"['Free Wi-Fi', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Ocean,"₹ 2,350",Near Houseboats | 740 m from Polo View Market,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,5.0, (Excellent),1.0,16%,"['Room Service', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Royal Lodge,₹ 714,Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 182 Off,5.0, (Excellent),2.0,14%,"['Caretaker', 'Housekeeping', 'Electrical Sockets']",Srinagar,9-8-2021,11-8-2021
Marco Polo Houseboats,"₹ 2,820",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Free Wi-Fi', 'Living Room', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Firdous,"₹ 2,350",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,4.0, (Very Good),1.0,11%,"['Free Wi-Fi', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Hotel Shaneel Residency,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,4.5, (Excellent),2.0,6%,"['Free Wi-Fi', 'Room Service', 'Conference Room']",Srinagar,9-8-2021,11-8-2021
OYO 66637 Merlin Group Of Houseboats,₹ 966,Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 238 Off,,,,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Bendmeer Group of Houseboats,"₹ 2,350",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,3.0, (Good),2.0,6%,"['Doctor on Call', 'Free Wi-Fi', 'Caretaker']",Srinagar,9-8-2021,11-8-2021
Hotel Town Centre,"₹ 2,632",,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,,,,51%,"['Room Service', 'Power Backup', 'Doctor on Call']",Srinagar,9-8-2021,11-8-2021
AJAZZ,"₹ 1,880",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,5.0, (Excellent),1.0,6%,"['Doctor on Call', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Naqash Residency,"₹ 3,290",Near Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,,,,6%,"['Kitchenette', 'Lawn', 'Room Service']",Srinagar,9-8-2021,11-8-2021
House Boat Riyad,"₹ 2,820",Near Dal Lake | 2.8 km from Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Bonfire', 'Business Centre', 'Conference Room']",Srinagar,9-8-2021,11-8-2021
Hotel Kashmir Residency,"₹ 2,820",Nowgam,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Srinagar,9-8-2021,11-8-2021
Houseboat Dogstar,"₹ 1,763",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 450 Off,,,,6%,"['Doctor on Call', 'Free Wi-Fi', 'Kitchenette']",Srinagar,9-8-2021,11-8-2021
Hotel Heaven Star,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,2.0,,1.0,6%,"['Free Parking', '24-hour Room Service', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Timour,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,5.0, (Excellent),2.0,6%,"['Free Wi-Fi', 'Kitchenette', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Honolulu,"₹ 2,350",Near Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,5.0, (Excellent),1.0,6%,"['Doctor on Call', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Royal Dandoo Palace - Houseboat,"₹ 1,935",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1202 Off,,,,6%,"['Free Wi-Fi', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Hotel New Gulfam,"₹ 2,820",Near Houseboats | 56 m from Lal Chowk,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['24-hour Room Service', 'Power Backup', 'Restaurant']",Srinagar,9-8-2021,11-8-2021
Light House Group of Houseboat,"₹ 3,290",Karan Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,3.4, (Good),63.0,28%,"['Doctor on Call', 'Free Wi-Fi', 'Kitchenette']",Srinagar,9-8-2021,11-8-2021
Houseboat Alps,"₹ 2,676",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 975 Off,2.0,,4.0,6%,"['Caretaker', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
The Hyde Park Inn,"₹ 1,365",Shiv Pora Bund | 410 m from Shivpora Water Tank Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 497 Off,,,,6%,"['Kids Play Area', 'Free Parking', 'Kitchenette']",Srinagar,9-8-2021,11-8-2021
Hotel City Inn,"₹ 2,820",Karan Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,5.0, (Excellent),1.0,11%,"['Room Service', 'Restaurant', 'Doctor on Call']",Srinagar,9-8-2021,11-8-2021
Green Mountain Houseboats,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,24%,"['Housekeeping', 'Restaurant', 'Electrical Sockets']",Srinagar,9-8-2021,11-8-2021
Houseboat Persian Palace,"₹ 1,269",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 324 Off,5.0, (Excellent),1.0,6%,"['Free Wi-Fi', 'Living Room', 'Safe']",Srinagar,9-8-2021,11-8-2021
Gemini group of house boat,"₹ 1,523",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 946 Off,,,,6%,"['Kitchenette', 'Living Room', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
New Gulistan Palace Deluxe Group of House Boats,"₹ 3,008",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,3.0, (Good),9.0,15%,"['Doctor on Call', 'Caretaker', 'Air Conditioning']",Srinagar,9-8-2021,11-8-2021
Houseboat Raj Mahal,"₹ 2,914",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 744 Off,4.0, (Very Good),6.0,40%,"['Caretaker', 'Air Conditioning', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Kolu Group Of Houseboats,"₹ 5,381",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1373 Off,,,,6%,"['Free Wi-Fi', 'Caretaker', 'Air Conditioning']",Srinagar,9-8-2021,11-8-2021
Houseboat kohisar,"₹ 2,068",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 528 Off,,,,6%,"['Doctor on Call', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Nazira Palace,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,25%,"['Room Service', 'Power Backup', 'Doctor on Call']",Srinagar,9-8-2021,11-8-2021
Houseboat Mashal,"₹ 1,880",Near Houseboats | 2.5 km from Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,5.0, (Excellent),3.0,6%,"['Caretaker', 'Housekeeping', 'Electrical Sockets']",Srinagar,9-8-2021,11-8-2021
Hotel Green Leaf,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,3.0, (Good),1.0,6%,"['Free Wi-Fi', 'Room Service', 'Restaurant']",Srinagar,9-8-2021,11-8-2021
HB New Calcutta,"₹ 1,880",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,,,,6%,"['Caretaker', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
New Beautystar Houseboat,"₹ 2,350",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,3.0, (Good),1.0,6%,"['Kitchenette', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Houseboat High Lucky Flower I,"₹ 2,341",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 597 Off,4.0, (Very Good),2.0,6%,"['Caretaker', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
New Majestic Houseboat,"₹ 2,350",Near Nigeen Lake | 970 m from Nagin Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,5.0, (Excellent),3.0,6%,"['Caretaker', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Sky Lark Guest House,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,,,,6%,"['Free Parking', 'Free Wi-Fi', '24-hour Room Service']",Srinagar,9-8-2021,11-8-2021
Shafaaf Plaza,"₹ 2,632",Near Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,,,,6%,"['Room Service', 'Power Backup', 'Conference Room']",Srinagar,9-8-2021,11-8-2021
New Manhattan,"₹ 2,538",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 648 Off,,,,6%,"['Caretaker', 'Housekeeping', 'Electrical Sockets']",Srinagar,9-8-2021,11-8-2021
S. Shabash Group of Houseboats,"₹ 2,373",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 864 Off,,,,6%,"['Doctor on Call', 'Caretaker', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Houseboat Pintail,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Free Wi-Fi', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Bostan Gulistan Houseboat,"₹ 2,676",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 975 Off,4.0, (Very Good),1.0,15%,"['Free Wi-Fi', 'Caretaker', 'Air Conditioning']",Srinagar,9-8-2021,11-8-2021
Mountview Villa,"₹ 5,170",Near Dal Lake | 400 m from Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 1320 Off,,,,6%,"['Kids Play Area', 'Free Parking', '24-hour Room Service']",Srinagar,9-8-2021,11-8-2021
Young Pasadon Houseboat,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,11%,"['Free Wi-Fi', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Nigeen Beauty Houseboat,"₹ 2,820",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,4.0, (Very Good),1.0,6%,"['Caretaker', 'Housekeeping', 'Electrical Sockets']",Srinagar,9-8-2021,11-8-2021
Houseboat GoldenLake,"₹ 3,760",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 960 Off,,,,6%,"['Caretaker', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Hotel Embassy,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,,,,6%,"['Outdoor Sports', 'Lawn', 'Room Service']",Srinagar,9-8-2021,11-8-2021
Little Majestic Group of House Boats,"₹ 1,410",Near Nigeen Lake | 970 m from Nagin Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,,,,6%,"['Doctor on Call', 'Free Wi-Fi', 'Kitchenette']",Srinagar,9-8-2021,11-8-2021
Blue Sky Group of houseboats,"₹ 3,008",Karan Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,2.0,,2.0,6%,"['Doctor on Call', 'Caretaker', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Nigeen Lodge,"₹ 2,632",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,,,,6%,"['Doctor on Call', 'Kids Play Area', 'Free Parking']",Srinagar,9-8-2021,11-8-2021
Grand Swan,"₹ 3,376",Near Dal Lake | 1 m from Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 1640 Off,,,,6%,"['Free Wi-Fi', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Sidsons Royale,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,5.0, (Excellent),1.0,6%,"['Room Service', 'Power Backup', 'Restaurant']",Srinagar,9-8-2021,11-8-2021
New Heaven Canal,₹ 685,Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,,,,16%,"['Golf', 'Yoga', 'Lounge']",Srinagar,9-8-2021,11-8-2021
DAWN,"₹ 2,532",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1230 Off,,,,6%,"['Doctor on Call', 'Free Wi-Fi', 'Kitchenette']",Srinagar,9-8-2021,11-8-2021
Hotel Glamour,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,4.0, (Very Good),1.0,14%,"['Room Service', 'Restaurant', 'Doctor on Call']",Srinagar,9-8-2021,11-8-2021
New Shereen Houseboat,"₹ 1,222",Karan Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,,,,16%,"['Power Backup', 'Housekeeping', 'Electrical Sockets']",Srinagar,9-8-2021,11-8-2021
Yasmeen group of houseboats,"₹ 2,320",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 845 Off,,,,6%,"['Caretaker', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Jazz,"₹ 2,322",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 592 Off,,,,6%,"['Doctor on Call', 'Free Wi-Fi', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Houseboat New Pala Palace,₹ 930,Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 237 Off,5.0, (Excellent),5.0,11%,"['Golf', 'Butler Services', 'Outdoor Sports']",Srinagar,9-8-2021,11-8-2021
House boat New Chez Henry,"₹ 2,538",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 648 Off,4.0, (Very Good),1.0,6%,"['Doctor on Call', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Houseboat Merlin,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 719 Off,,,,6%,"['Caretaker', 'Living Room', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Batkusherton Houseboat,"₹ 2,820",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Free Parking', 'Free Wi-Fi', 'Lawn']",Srinagar,9-8-2021,11-8-2021
Houseboat Panzey,"₹ 1,338",Near Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 831 Off,,,,6%,"['Free Wi-Fi', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Hanief Houseboat,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Caretaker', 'Living Room', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Kolu Palace Houseboat (Standard Room),"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,36%,"['Free Wi-Fi', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Divine Holiday Home,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,1.0,,1.0,6%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Srinagar,9-8-2021,11-8-2021
Zum Zum Group of Houseboat,"₹ 1,596",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 774 Off,3.0, (Good),1.0,6%,"['Kitchenette', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
HB Hardy Palace,"₹ 1,224",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 594 Off,4.3, (Very Good),3.0,6%,"['Kitchenette', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Houseboat Queens Lap,"₹ 1,763",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 450 Off,,,,24%,"['Free Wi-Fi', 'Caretaker', 'Safe']",Srinagar,9-8-2021,11-8-2021
H.B. Continental (Rooms) (Deluxe Room),"₹ 3,290",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,,,,16%,"['Caretaker', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Houseboat Prince Of Bombay,"₹ 1,446",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 1197 Off,4.0, (Very Good),1.0,6%,"['Free Wi-Fi', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Mandaley,"₹ 2,350",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,,,,6%,"['Living Room', 'Safe', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
HAPPY DAWN,"₹ 2,820",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,3.5, (Good),4.0,34%,"['Doctor on Call', 'Free Wi-Fi', 'Kitchenette']",Srinagar,9-8-2021,11-8-2021
Houseboat Kolhai,"₹ 1,692",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 432 Off,,,,6%,"['Doctor on Call', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Hotel Valley Heritage,₹ 940,,Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,,,,6%,"['Room Service', 'Restaurant']",Srinagar,9-8-2021,11-8-2021
Golden Bell,"₹ 2,632",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,,,,6%,"['Caretaker', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Harwan Resort,"₹ 3,760",Near Shalimar Bagh,Exclusive Offer - HDFC Credit Card Users. Get INR 960 Off,,,,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Golden Lotus,"₹ 3,568",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 1300 Off,,,,6%,"['Doctor on Call', 'Kitchenette', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Robinhood Houseboat,"₹ 3,290",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,2.7,,3.0,6%,"['Caretaker', 'Living Room', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
New Maharaja Palace Group of houseboats,"₹ 2,676",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 975 Off,,,,11%,"['Outdoor Sports', 'Swimming Pool', 'Free Parking']",Srinagar,9-8-2021,11-8-2021
Hotel Island Srinagar,₹ 527,Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 237 Off,,,,6%,"['Free Wi-Fi', 'Kitchenette', 'Room Service']",Srinagar,9-8-2021,11-8-2021
RITZ HOUSEBOATS,"₹ 1,035",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 643 Off,3.5, (Good),2.0,11%,"['Caretaker', 'Safe', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Butt Clermont Houseboat,"₹ 10,857",Near Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 2772 Off,3.3, (Good),3.0,25%,"['Free Wi-Fi', 'Caretaker', 'Living Room']",Srinagar,9-8-2021,11-8-2021
Houseboat Egypt,"₹ 1,880",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,,,,20%,"['Free Wi-Fi', 'Kitchenette', 'Caretaker']",Srinagar,9-8-2021,11-8-2021
Houseboat Argonaut,"₹ 1,222",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,3.0, (Good),1.0,6%,"['Free Wi-Fi', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat Kotroo Palace,"₹ 2,350",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,,,,6%,"['Doctor on Call', 'Caretaker', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Houseboat New Swift,"₹ 2,703",Near Houseboats,Exclusive Offer - HDFC Credit Card Users. Get INR 690 Off,,,,6%,"['Doctor on Call', 'Living Room', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
Bibi Jan Guest House,"₹ 2,820",Near Dal Lake | 1.6 km from Dal Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Restaurant', 'Room Service']",Srinagar,9-8-2021,11-8-2021
Houseboat Signet,"₹ 3,760",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 960 Off,,,,6%,"['Living Room', 'Power Backup', 'Housekeeping']",Srinagar,9-8-2021,11-8-2021
Hotel Bakhtawar,"₹ 1,692",Near Srinagar Airport | 8.6 km from Srinagar Inernational Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 432 Off,,,,6%,"['Free Parking', 'Kids Play Area', 'Free Wi-Fi']",Srinagar,9-8-2021,11-8-2021
Houseboat Palace Heights,"₹ 2,820",Near Nigeen Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,,,,6%,"['Caretaker', 'Living Room', 'Power Backup']",Srinagar,9-8-2021,11-8-2021
